Generation 253, Best fitness: 32.575116413110365, Average fitness: 25.96739996240719
Generation 254, Best fitness: 32.95535018822807, Average fitness: 25.97335129227431
Generation 255, Best fitness: 32.98280276078683, Average fitness: 25.98893680439323
Generation 256, Best fitness: 33.40368389826934, Average fitness: 25.939335156573843
Generation 257, Best fitness: 33.40368389826934, Average fitness: 25.94197244531602
Generation 258, Best fitness: 33.40368389826934, Average fitness: 25.994208572454106
Generation 259, Best fitness: 33.40368389826934, Average fitness: 25.965638695723246
Generation 260, Best fitness: 33.40368389826934, Average fitness: 25.994027666502422
Generation 261, Best fitness: 33.09507783092635, Average fitness: 26.01623353393833
Generation 262, Best fitness: 33.32523310670443, Average fitness: 25.990875328263346
Generation 263, Best fitness: 33.10380861860358, Average fitness: 25.911586374737812
Generation 264, Best fitness: 33.02044452961452, Average fitness: 25.901600134448994
Generation 265, Best fitness: 33.02044452961452, Average fitness: 25.855746388919922
Generation 266, Best fitness: 33.02044452961452, Average fitness: 25.86010377064225
Generation 267, Best fitness: 33.18049075829408, Average fitness: 25.908673861410687
Generation 268, Best fitness: 33.02044452961452, Average fitness: 25.95595117157863
Generation 269, Best fitness: 32.992539057304185, Average fitness: 25.928191030178425
Generation 270, Best fitness: 32.71500548184166, Average fitness: 25.933856678556836
Generation 271, Best fitness: 32.62649028389233, Average fitness: 25.955506744247337
Generation 272, Best fitness: 32.62649028389233, Average fitness: 25.914460699484184
Generation 273, Best fitness: 32.9360577925302, Average fitness: 25.95399063719235
Generation 274, Best fitness: 32.80433709353921, Average fitness: 25.937717097759684
Generation 275, Best fitness: 32.66603054086817, Average fitness: 25.911954932780386
Generation 276, Best fitness: 33.273790677723326, Average fitness: 25.894119822147207
Generation 277, Best fitness: 33.273790677723326, Average fitness: 25.91462895836905
Generation 278, Best fitness: 33.273790677723326, Average fitness: 25.931821375492824
Generation 279, Best fitness: 33.294790687963186, Average fitness: 25.934079535775275
Generation 280, Best fitness: 33.268809405939656, Average fitness: 26.013304359765467
Generation 281, Best fitness: 33.268809405939656, Average fitness: 25.9832803490162
Generation 282, Best fitness: 33.075046364504956, Average fitness: 25.963183998923803
Generation 283, Best fitness: 33.075046364504956, Average fitness: 26.0212650920045
Generation 284, Best fitness: 32.95017507779514, Average fitness: 26.0106594264346
Generation 285, Best fitness: 32.95017507779514, Average fitness: 25.94767683048678
