Population: 300, Number of Generations: 400
Generation 373, Best fitness: 28.581750257999268, Average fitness: 22.009551766736937
Generation 374, Best fitness: 28.581750257999268, Average fitness: 22.08331905344273
Generation 375, Best fitness: 28.789357424013584, Average fitness: 22.119221805784637
Generation 376, Best fitness: 28.789357424013584, Average fitness: 22.225939751696956
Generation 377, Best fitness: 28.789357424013584, Average fitness: 22.274045365478113
Generation 378, Best fitness: 28.565240710161646, Average fitness: 22.26440341415663
Generation 379, Best fitness: 28.604408460772493, Average fitness: 22.29168321335298
Generation 380, Best fitness: 28.604408460772493, Average fitness: 22.416037405501037
Generation 381, Best fitness: 28.42413538335014, Average fitness: 22.25382404394423
Generation 382, Best fitness: 28.565240710161646, Average fitness: 22.251000827798887
Generation 383, Best fitness: 28.565240710161646, Average fitness: 22.254539185288454
Generation 384, Best fitness: 28.565240710161646, Average fitness: 22.256748126809654
Generation 385, Best fitness: 28.42413538335014, Average fitness: 22.088483996043564
